"date","type","dead","injured","location","details","perpetrator","partOf"
"18","Attack","1","0","Kidal, Mali","A UN peacekeeper from Guinea died in an attack in northeastern Mali.[90]","Al-Qaeda in the Islamic Maghreb (suspected)","Insurgency in the Maghreb"
"18","Car bombing","2 (+1)","31","Lashkargah, Afghanistan","Two people have been killed and at least 31 others wounded in a car-bomb attack targeting a convoy of security forces in the capital of southern Helmand province.[91]","Taliban","War in Afghanistan"
"18","Shooting","2","0","La Macarena, Colombia","At least two policemen were shot dead for militants of the dissidents of the Farc.[92]","FARC Dissidents","Colombian conflict"
"19","Shooting","4","0","Southwest Region, Cameroon","At least four police officers were shot dead during an ambush in the village of Kembong in the Southwest region.[93]","Anglophone secessionist","Anglophone Crisis"
"19","Mortar attack","1","2","Arish, Egypt","A military officer was killed and two others wounded after a mortar shell fell on a military airport near Arish, in North Sinai Governorate.[94]","Islamic State","Sinai insurgency"
"19","Arson, Kidnapping","1","2 Kidnapped","Bihar India","At least one railway employer was killed and two other were kidnapped during a naxalite attack.[95]","CPI","Naxalite–Maoist insurgency"
"20","Assassinations","3","0","Putumayo and Cauca","In the municipality of Puerto Asís a communal leader and his daughter were shot dead. In another department another social leader was shot dead.[96]","Paramilitaries (suspected)","Colombian conflict"
"21","Assassination","2","0","Tierralta and Puerto Guzman, Colombia","A social leader (former FARC guerrilla) was tortured for three hours and killed in the municipality of Tierraalta, Cordoba Department.  In other incident, a communal leader (belonging to the Patriotic March) was shot dead. This incident was part of a wave of violence against social leaders in Colombia[97][98]","Autodefensas Gaitanistas de Colombia (suspected)","Colombian conflict"
"21","Bombing","0","3","Baghdad, Iraq","Two civilians and a tribal fighter were injured in two bomb blasts in Baghdad.[99]","Islamic State","Iraqi insurgency"
"22","Bombing","0","0","Athens, Greece","A bomb exploded outside one of Greece's main courthouses in Athens, police had cleared the area and nobody was hurt.[100][101]","Popular Fighters Group","Terrorism in Greece"
"22","Bombing","0","4","Baghdad, Iraq","Four persons were wounded as a bomb blast took place in south of Baghdad.[102]","Islamic State (suspected)","Iraqi insurgency"
"22","Suicide car bombing","6 (+1)","6","Kandahar province, Afghanistan","At least six police force members were killed in a suicide car bombing attack next to a police headquarters in Kandahar province.[103]","Taliban (suspected)","War in Afghanistan"
